OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10031_24723	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;	79
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10063_25730	Bacteria;Cyanobacteria;Chloroplast;	17
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10096_4300	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;	322
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10113_3656	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;	1
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10117_18201	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;	687
OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10123_21501	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;	45
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10149_26036	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade;	1
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10184_21886	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibacterium;	1
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10193_6918	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;	1
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10218_19297	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;	93
OSD191_6_14_DRW	M01153_28_000000000-ABJE2_1_1101_10229_19021	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;	13
OSD31_6_14_PH	M01153_28_000000000-ABJE2_1_1101_10238_25317	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus;	2
OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10241_10310	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;AEGEAN-169 marine group;	1
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10326_9139	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;	8
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10341_26679	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;	34
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10361_13691	Bacteria;Chloroflexi;SAR202 clade;	22
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10365_21587	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;	1
OSD191_6_14_DRW	M01153_28_000000000-ABJE2_1_1101_10405_14139	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;	42
OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10412_12109	Bacteria;Cyanobacteria;Chloroplast;	86
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10427_22824	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;	2
OSD31_6_14_PH	M01153_28_000000000-ABJE2_1_1101_10452_22268	Bacteria;Cyanobacteria;Chloroplast;	58
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10475_7397	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;	1
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10516_5123	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade;	115
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10003_20452	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;	118
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10535_22538	Bacteria;Cyanobacteria;Chloroplast;	32
OSD191_6_14_DRW	M01153_28_000000000-ABJE2_1_1101_10012_21161	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;uncultured;	52
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10015_6186	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;	608
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10562_17209	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;	250
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10035_4101	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Salinimonas;	1
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10043_10534	Bacteria;Cyanobacteria;Chloroplast;	454
OSD191_6_14_DRW	M01153_28_000000000-ABJE2_1_1101_10601_13803	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;	1
OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10067_6116	Bacteria;Marinimicrobia (SAR406 clade);	48
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10044_25900	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;	71
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10615_14878	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina;	259
OSD190_6_14_KI	M01153_28_000000000-ABJE2_1_1101_10070_6756	Bacteria;Cyanobacteria;Chloroplast;	23
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10089_19297	Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;	318
OSD33_6_14_MI	M01153_28_000000000-ABJE2_1_1101_10678_23537	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;	107
OSD32_6_14_NSI	M01153_28_000000000-ABJE2_1_1101_10117_24026	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured;	1
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10010_22721	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;uncultured;	78
OSD31_6_14_PH	M01153_28_000000000-ABJE2_1_1101_10096_4758	Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Surface 1;	141
OSD188_6_14_RI	M01153_28_000000000-ABJE2_1_1101_10686_10841	Bacteria;Marinimicrobia (SAR406 clade);	204
OSD189_6_14_YNG	M01153_28_000000000-ABJE2_1_1101_10120_25169	Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);	20
