primary_accession	OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
M01153_28_000000000-ABJE2_1_1101_10012_21161	0	14	0	52	0	0	0
M01153_28_000000000-ABJE2_1_1101_10031_24723	0	0	0	0	0	10	79
M01153_28_000000000-ABJE2_1_1101_10035_4101	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10039_9241	0	0	0	4	0	0	0
M01153_28_000000000-ABJE2_1_1101_10043_10534	0	17	9	0	0	454	0
M01153_28_000000000-ABJE2_1_1101_10044_25900	51	33	71	13	39	95	46
M01153_28_000000000-ABJE2_1_1101_10063_25730	0	0	17	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10067_6116	0	8	23	0	0	0	48
M01153_28_000000000-ABJE2_1_1101_10070_6756	16	98	23	0	10	15	6
M01153_28_000000000-ABJE2_1_1101_10089_17019	0	0	0	0	0	0	5
M01153_28_000000000-ABJE2_1_1101_10089_19297	299	318	0	0	3	5	0
M01153_28_000000000-ABJE2_1_1101_10096_4300	0	208	451	30	0	322	257
M01153_28_000000000-ABJE2_1_1101_10096_4758	0	0	0	146	141	0	0
M01153_28_000000000-ABJE2_1_1101_10104_27837	0	0	0	0	0	0	9
M01153_28_000000000-ABJE2_1_1101_10104_4336	45	20	200	0	11	142	22
M01153_28_000000000-ABJE2_1_1101_10113_3656	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10117_18201	0	687	0	0	0	96	46
M01153_28_000000000-ABJE2_1_1101_10117_24026	0	0	0	0	1	1	0
M01153_28_000000000-ABJE2_1_1101_10122_8980	160	0	0	0	0	86	0
M01153_28_000000000-ABJE2_1_1101_10123_21501	293	339	231	56	296	0	45
M01153_28_000000000-ABJE2_1_1101_10141_25903	0	0	125	0	1	1	172
M01153_28_000000000-ABJE2_1_1101_10143_24200	118	311	46	5	0	169	0
M01153_28_000000000-ABJE2_1_1101_10145_25240	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10148_25427	88	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10149_26036	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10165_15651	2	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10166_25985	98	33	79	0	29	64	103
M01153_28_000000000-ABJE2_1_1101_10167_11599	68	337	23	56	65	124	5
M01153_28_000000000-ABJE2_1_1101_10173_27859	0	27	0	0	4	0	0
