OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);
0.0000	0.0000	0.0044	0.0126	0.0000	0.0000	0.0401	Archaea;Bathyarchaeota;
0.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;
0.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;
0.0120	0.0035	0.0000	0.0000	0.0000	0.0000	0.0115	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;uncultured;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS1A-4113-D04;
0.0000	0.0000	0.0000	0.0168	0.0000	0.0000	0.0000	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;CCA47;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;MKCST-A3;
4.6716	5.1408	7.6340	3.9783	2.2692	6.0944	5.8874	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;
0.6577	0.6980	0.5645	0.0671	0.0793	0.5861	3.7340	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Lokiarchaeota;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Marine Hydrothermal Vent Group(MHVG);
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Miscellaneous Euryarchaeotic Group(MEG);
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;Thaumarchaeota;Group C3;
0.0040	0.0000	0.0044	0.2980	0.0083	0.0000	0.0057	Archaea;Thaumarchaeota;Marine Group I;
0.0000	0.0000	0.1147	0.0000	0.0000	0.0000	0.0000	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosoarchaeum;
0.6896	0.0105	1.0143	0.3441	0.1877	0.0421	2.8635	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopelagicus;
0.2192	0.0035	1.8655	0.4448	0.0584	0.0153	5.4751	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopumilus;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Archaea;WSA2;20a-9;
0.0040	0.0279	0.0044	0.2350	0.0083	0.0306	0.0630	Archaea;Woesearchaeota (DHVEG-6);
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Acetothermia;Unknown Class;Unknown Order;Unknown Family;Candidatus Acetothermus;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;AT-s3-28;
0.0000	0.0000	0.0000	0.0210	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4);Blastocatella;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Holophagae;B276-D12;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Holophagae;Subgroup 10;NS72;
0.0000	0.0000	0.0000	0.0420	0.0000	0.0000	0.0115	Bacteria;Acidobacteria;Holophagae;Subgroup 10;Sva0725;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae (Subgroup 3);Bryobacter;
0.0000	0.0000	0.0000	0.0168	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae (Subgroup 3);PAUC26f;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Subgroup 17;
0.0000	0.0000	0.0088	0.0336	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Subgroup 21;
0.0159	0.0000	0.0088	0.1679	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Subgroup 22;
0.0040	0.0000	0.0000	0.0210	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Subgroup 26;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Acidobacteria;Subgroup 6;
0.0000	0.0000	0.0044	0.0042	0.0000	0.0000	0.0000	Bacteria;Acidobacteria;Subgroup 9;
0.0120	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;
0.0120	0.0384	0.0044	0.0965	0.0793	0.0192	0.0000	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;
0.0120	0.0000	0.0000	0.0965	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
6.0108	4.4672	2.9504	8.8002	7.1789	7.5462	4.0777	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina;
1.7180	1.0994	1.0893	1.3933	1.8479	0.7776	2.0388	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
0.0040	0.0000	0.0044	0.0000	0.0042	0.0000	0.0000	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;
0.0000	0.0070	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Serinicoccus;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;ML602J-51;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0038	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Naasia;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;
0.0000	0.0035	0.0000	0.0000	0.0000	0.0038	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;
0.0319	0.0035	0.0000	0.0042	0.0000	0.0000	0.0057	Bacteria;Actinobacteria;Actinobacteria;PeM15;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olsenella;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1;
0.0000	0.0000	0.0000	0.0294	0.0000	0.0000	0.0000	Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;
0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	Bacteria;BRC1;
0.0000	0.0000	0.0000	0.0210	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidetes BD2-2;
0.0000	0.0140	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;Rubrivirga;
0.0199	0.0000	0.0044	0.1049	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;uncultured;
0.0319	0.0628	0.0000	0.0252	0.0042	0.0192	0.0057	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;Unknown Family;Balneola;
0.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;Unknown Family;Gracilimonas;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;uncultured;
0.0040	0.0000	0.0000	0.0126	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;uncultured;
0.0080	0.0000	0.0132	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Prolixibacter;
0.0040	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidia Incertae Sedis;Draconibacteriaceae;Draconibacterium;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Microscilla;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0038	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;uncultured;
0.0040	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Aureibacter;
0.0000	0.0035	0.0000	0.0084	0.0000	0.0077	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Candidatus Amoebophilus;
0.0000	0.0070	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Cesiribacter;
0.0000	0.0070	0.0000	0.0210	0.0000	0.0230	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Ekhidna;
0.0080	0.0070	0.0000	0.0084	0.0292	0.0536	0.0229	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flammeovirga;
0.0000	0.0000	0.0000	0.0252	0.0042	0.0000	0.0057	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix;
0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fulvivirga;
0.6936	0.2094	0.1103	0.5414	0.6507	0.4520	0.0916	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;
0.0000	0.0035	0.0000	0.0042	0.0042	0.0038	0.0000	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Reichenbachiella;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0515	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Roseivirga;
0.0877	0.0070	0.0926	0.3861	0.1126	0.0460	0.0344	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;uncultured;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0077	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;
0.0399	0.0105	0.0485	0.0126	0.0626	0.0077	0.0172	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Cryomorpha;
0.1435	0.2024	0.1191	1.2086	0.2628	0.0421	0.0458	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;
0.0877	0.0035	0.0573	0.0210	0.0375	0.0536	0.0687	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
0.0000	0.0035	0.0044	0.0042	0.0000	0.0000	0.0115	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;
0.0120	0.0035	0.0000	0.1217	0.0793	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Salinirepens;
0.5660	0.1256	3.3385	0.2728	1.4016	0.7278	0.2864	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;uncultured;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;
0.0199	0.0000	0.0000	0.0210	0.0125	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Actibacter;
0.0040	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algitalea;
0.0279	0.0035	0.0132	0.0504	0.0167	0.0115	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
0.0000	0.0000	0.0088	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Arenibacter;
0.0199	0.0000	0.0000	0.0000	0.0042	0.0077	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureisphaera;
0.0239	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureitalea;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Croceibacter;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Empedobacter;
0.0080	0.0000	0.0176	0.0000	0.0459	0.0268	0.0057	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavicella;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
0.0040	0.0663	0.0485	0.0042	0.1752	0.0038	0.0115	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Formosa;
0.0000	0.0000	0.0000	0.0000	0.0334	0.0115	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Gilvibacter;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Jejudonia;
0.0000	0.0035	0.0000	0.0000	0.0209	0.0077	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Kordia;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lacinutrix;
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lutibacter;
0.0000	0.0000	0.0044	0.0084	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lutimonas;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Mesoflavibacter;
1.5266	0.6561	1.3936	0.0671	2.4945	1.6127	0.0344	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
1.5466	1.5775	1.0099	0.5162	3.7375	0.9921	0.7732	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
3.8624	3.0328	4.4498	7.4027	5.6355	1.5016	3.1270	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
0.0000	0.0000	0.0132	0.0000	0.0209	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Olleya;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Pibocella;
0.0199	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter 2;
0.0040	0.0000	0.0265	0.0000	0.0209	0.0115	0.0401	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Postechiella;
0.0000	0.0070	0.0132	0.0000	0.0584	0.0192	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter;
0.0080	0.0000	0.0000	0.0000	0.0083	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;
0.0000	0.0000	0.0044	0.0000	0.0125	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Psychroserpens;
0.0000	0.0000	0.0000	0.0084	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;
