OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0	0	0	1	0	0	0	Archaea;
0	0	0	1	0	0	0	Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);
0	0	1	3	0	0	7	Archaea;Bathyarchaeota;
0	1	0	0	0	0	0	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus;
0	1	0	0	0	0	0	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;
0	0	0	0	1	0	0	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;
3	1	0	0	0	0	2	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;uncultured;
0	0	0	1	0	0	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS1A-4113-D04;
0	0	0	4	0	0	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;CCA47;
0	0	0	1	0	0	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;MKCST-A3;
1172	1473	1731	948	544	1591	1028	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;
165	200	128	16	19	153	652	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;
0	0	0	1	0	0	0	Archaea;Lokiarchaeota;
0	0	0	1	0	0	0	Archaea;Marine Hydrothermal Vent Group(MHVG);
0	0	0	1	0	0	0	Archaea;Miscellaneous Euryarchaeotic Group(MEG);
0	0	0	1	0	0	0	Archaea;Thaumarchaeota;Group C3;
1	0	1	71	2	0	1	Archaea;Thaumarchaeota;Marine Group I;
0	0	26	0	0	0	0	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosoarchaeum;
173	3	230	82	45	11	500	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopelagicus;
55	1	423	106	14	4	956	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopumilus;
0	0	0	1	0	0	0	Archaea;WSA2;20a-9;
1	8	1	56	2	8	11	Archaea;Woesearchaeota (DHVEG-6);
0	0	0	2	0	0	0	Bacteria;Acetothermia;Unknown Class;Unknown Order;Unknown Family;Candidatus Acetothermus;
0	0	0	1	0	0	0	Bacteria;Acidobacteria;AT-s3-28;
0	0	0	5	0	0	0	Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae (Subgroup 4);Blastocatella;
0	0	0	1	0	0	0	Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;
0	0	0	2	0	0	0	Bacteria;Acidobacteria;Holophagae;B276-D12;
