Number of OTUs	Number of Clustered Sequences	Number of Replicates	Total Number of Sequences	Sample Name	Path
1	2	0	3	OSD188_6_14_RI	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;uncultured;
123	471	578	1172	OSD188_6_14_RI	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;
16	56	93	165	OSD188_6_14_RI	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III;
1	0	0	1	OSD188_6_14_RI	Archaea;Thaumarchaeota;Marine Group I;
3	58	112	173	OSD188_6_14_RI	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopelagicus;
4	20	31	55	OSD188_6_14_RI	Archaea;Thaumarchaeota;Marine Group I;Unknown Order;Unknown Family;Candidatus Nitrosopumilus;
1	0	0	1	OSD188_6_14_RI	Archaea;Woesearchaeota (DHVEG-6);
1	0	0	1	OSD188_6_14_RI	Bacteria;Acidobacteria;Subgroup 17;
3	1	0	4	OSD188_6_14_RI	Bacteria;Acidobacteria;Subgroup 22;
1	0	0	1	OSD188_6_14_RI	Bacteria;Acidobacteria;Subgroup 26;
3	0	0	3	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;
3	0	0	3	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;uncultured;
2	1	0	3	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;
165	530	813	1508	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina;
94	151	186	431	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;
1	0	0	1	OSD188_6_14_RI	Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;uncultured;
1	0	0	1	OSD188_6_14_RI	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;
1	0	0	1	OSD188_6_14_RI	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;
1	0	0	1	OSD188_6_14_RI	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Serinicoccus;
1	0	0	1	OSD188_6_14_RI	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;
2	3	3	8	OSD188_6_14_RI	Bacteria;Actinobacteria;Actinobacteria;PeM15;
5	0	0	5	OSD188_6_14_RI	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order II;Rhodothermaceae;uncultured;
2	4	2	8	OSD188_6_14_RI	Bacteria;Bacteroidetes;Bacteroidetes Incertae Sedis;Order III;Unknown Family;Balneola;
1	0	0	1	OSD188_6_14_RI	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;uncultured;
