Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
OSD188_6_14_RI_R1.ac	86.0640093959	50.0	249.959810614	27246.0	33.3333333333
OSD188_6_14_RI_R2.ac	78.6427365485	50.0	249.881964325	27246.0	41.6666666667
OSD189_6_14_YNG_R1.ac	88.0552781625	50.0	249.981606159	31043.0	41.6666666667
OSD189_6_14_YNG_R2.ac	82.5757819798	50.0	249.904873885	31043.0	33.3333333333
OSD190_6_14_KI_R1.ac	86.645346719	49.0	249.876249848	24703.0	41.6666666667
OSD190_6_14_KI_R2.ac	79.281868599	50.0	249.735619156	24703.0	41.6666666667
OSD191_6_14_DRW_R1.ac	84.7294036539	51.0	249.981079321	26109.0	41.6666666667
OSD191_6_14_DRW_R2.ac	77.6475544831	52.0	249.869278793	26109.0	41.6666666667
OSD31_6_14_PH_R1.ac	87.9341374689	49.0	249.978173464	26115.0	41.6666666667
OSD31_6_14_PH_R2.ac	80.6586253111	50.0	249.819299253	26115.0	41.6666666667
OSD32_6_14_NSI_R1.ac	88.8168785883	49.0	249.96361523	28391.0	41.6666666667
OSD32_6_14_NSI_R2.ac	81.8639709767	50.0	249.876968053	28391.0	41.6666666667
OSD33_6_14_MI_R1.ac	85.2328723573	50.0	249.970963811	18873.0	33.3333333333
OSD33_6_14_MI_R2.ac	79.8601176284	51.0	249.827107508	18873.0	33.3333333333
