Module	Section	Sample Name	Source
FastQC	all_sections	OSD191_6_14_DRW_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD191_6_14_DRW_R2.ac_fastqc.zip
FastQC	all_sections	OSD189_6_14_YNG_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD189_6_14_YNG_R1.ac_fastqc.zip
FastQC	all_sections	OSD190_6_14_KI_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD190_6_14_KI_R1.ac_fastqc.zip
FastQC	all_sections	OSD190_6_14_KI_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD190_6_14_KI_R2.ac_fastqc.zip
FastQC	all_sections	OSD189_6_14_YNG_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD189_6_14_YNG_R2.ac_fastqc.zip
FastQC	all_sections	OSD31_6_14_PH_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD31_6_14_PH_R1.ac_fastqc.zip
FastQC	all_sections	OSD32_6_14_NSI_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD32_6_14_NSI_R2.ac_fastqc.zip
FastQC	all_sections	OSD33_6_14_MI_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD33_6_14_MI_R2.ac_fastqc.zip
FastQC	all_sections	OSD33_6_14_MI_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD33_6_14_MI_R1.ac_fastqc.zip
FastQC	all_sections	OSD188_6_14_RI_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD188_6_14_RI_R1.ac_fastqc.zip
FastQC	all_sections	OSD32_6_14_NSI_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD32_6_14_NSI_R1.ac_fastqc.zip
FastQC	all_sections	OSD191_6_14_DRW_R1.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD191_6_14_DRW_R1.ac_fastqc.zip
FastQC	all_sections	OSD31_6_14_PH_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD31_6_14_PH_R2.ac_fastqc.zip
FastQC	all_sections	OSD188_6_14_RI_R2.ac	/Users/ufo/Desktop/p2p/data/fastqc_output/fastqc_ac/OSD188_6_14_RI_R2.ac_fastqc.zip
