Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
OSD188_6_14_RI_R1	86.0640093959	50.0	250.855905454	27246.0	41.6666666667
OSD188_6_14_RI_R2	78.6427365485	50.0	250.751413051	27246.0	41.6666666667
OSD189_6_14_YNG_R1	88.0552781625	50.0	250.882711078	31043.0	41.6666666667
OSD189_6_14_YNG_R2	82.5757819798	51.0	250.7770834	31043.0	41.6666666667
OSD190_6_14_KI_R1	86.645346719	49.0	250.818928875	24703.0	33.3333333333
OSD190_6_14_KI_R2	79.281868599	50.0	250.726794316	24703.0	33.3333333333
OSD191_6_14_DRW_R1	84.7332337508	51.0	250.84308093	26109.0	41.6666666667
OSD191_6_14_DRW_R2	77.6475544831	52.0	250.666360259	26109.0	33.3333333333
OSD31_6_14_PH_R1	87.9274036068	49.0	250.850863422	26117.0	41.6666666667
OSD31_6_14_PH_R2	80.6524485967	50.0	250.681165524	26117.0	41.6666666667
OSD32_6_14_NSI_R1	88.8168785883	49.0	250.835616921	28391.0	41.6666666667
OSD32_6_14_NSI_R2	81.8639709767	50.0	250.746222394	28391.0	41.6666666667
OSD33_6_14_MI_R1	85.2328723573	50.0	250.748211731	18873.0	33.3333333333
OSD33_6_14_MI_R2	79.8601176284	51.0	250.712499338	18873.0	41.6666666667
